Silkbase_id,NCBI_id,TF,KEGG_id,Silkbase_description,GO_description,KEGG_description
KWMTBOMO06440,Grina,_,692817,glutamate_[NMDA]_receptor-associated_protein_1_[Bombyx_mori],-,Grina; glutamate [NMDA] receptor-associated protein 1sK24205 TMBIM; protein lifeguard
KWMTBOMO06441,LOC101744046,_,101744046,"PREDICTED:_39S_ribosomal_protein_L52,_mitochondrial_[Amyelois_transitella]",GO:0003735|structural constituent of ribosome|molecular function;GO:0005762|mitochondrial large ribosomal subunit|cellular component;GO:0032543|mitochondrial translation|biological process,39S ribosomal protein L52sK17433 MRPL52; large subunit ribosomal protein L52
KWMTBOMO06442,LOC101743752,_,101743752,PREDICTED:_elongation_of_very_long_chain_fatty_acids_protein_7-like_isoform_X2_[Bombyx_mori],GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO06443,NA,_,101743752,PREDICTED:_elongation_of_very_long_chain_fatty_acids_protein_7-like_isoform_X2_[Bombyx_mori],GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO06444,LOC101743610,_,101743610,PREDICTED:_GTP-binding_protein_REM_1_[Bombyx_mori],GO:0003924|GTPase activity|molecular function;GO:0005525|GTP binding|molecular function;GO:0007165|signal transduction|biological process;GO:0016020|membrane|cellular component,NA
KWMTBOMO06445,NA,_,105841788,gag-like_protein_[Bombyx_mori],-,NA
KWMTBOMO06446,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO06447,LOC101738461,_,101738461,"hypothetical_protein_AB894_15365,_partial_[Piscirickettsia_salmonis_LF-89_=_ATCC_VR-1361]",GO:0003676|nucleic acid binding|molecular function;GO:0004190|aspartic-type endopeptidase activity|molecular function;GO:0006508|proteolysis|biological process;GO:0008270|zinc ion binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO06448,NA,_,101743610,PREDICTED:_GTP-binding_protein_REM_1_[Bombyx_mori],-,NA
KWMTBOMO06449,BGRP3,_,100188963,"beta-1,3-glucan_recognition_protein_3_precursor_[Bombyx_mori]","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|molecular function;GO:0005975|carbohydrate metabolic process|biological process;GO:0030246|carbohydrate binding|molecular function","BGRP3; beta-1,3-glucan recognition protein 3 precursorsK20692 GNBP3; gram-negative bacteria-binding protein 3"
KWMTBOMO06450,BGRP1,_,692379,"beta-1,3-glucan_recognition_protein_1_[Helicoverpa_armigera]","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|molecular function;GO:0005975|carbohydrate metabolic process|biological process;GO:0030246|carbohydrate binding|molecular function","BGRP1; beta-1,3-glucan-binding protein precursorsK20692 GNBP3; gram-negative bacteria-binding protein 3"
KWMTBOMO06451,NA,_,693016,"beta-1,3-glucan_recognition_protein_2_precursor_[Bombyx_mori]",GO:0030246|carbohydrate binding|molecular function,"BGRP2; beta-1,3-glucan recognition protein 2 precursorsK20697 GNBP1; gram-negative bacteria-binding protein 1"
KWMTBOMO06452,BGRP2,_,693016,"beta-1,3-glucan_recognition_protein_2_precursor_[Bombyx_mori]","GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|molecular function;GO:0005975|carbohydrate metabolic process|biological process","BGRP2; beta-1,3-glucan recognition protein 2 precursorsK20697 GNBP1; gram-negative bacteria-binding protein 1"
KWMTBOMO06453,LOC101743471,_,101743471,PREDICTED:_calcium-transporting_ATPase_type_2C_member_1_isoform_X2_[Amyelois_transitella],"GO:0000166|nucleotide binding|molecular function;GO:0005388|calcium transmembrane transporter activity, phosphorylative mechanism|molecular function;GO:0005524|ATP binding|molecular function;GO:0006816|calcium ion transport|biological process;GO:0016021|integral component of membrane|cellular component;GO:0070588|calcium ion transmembrane transport|biological process",calcium-transporting ATPase type 2C member 1 isoform X1sK01537 ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]
KWMTBOMO06454,LOC733123,_,733123,NADH-ubiquinone_reductase_[Bombyx_mori],GO:0016491|oxidoreductase activity|molecular function;GO:0055114|oxidation-reduction process|biological process,NADH-ubiquinone reductasesK03943 NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]
KWMTBOMO06455,LOC101743328,zf-C2H2,101743328,PREDICTED:_myeloid_zinc_finger_1_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function,NA
KWMTBOMO06456,LOC101743192,_,101743192,PREDICTED:_uncharacterized_protein_LOC101743192_[Bombyx_mori],GO:0006392|transcription elongation from mitochondrial promoter|biological process,"uncharacterized protein LOC101743192 isoform X1sK17658 TEFM; transcription elongation factor, mitochondrial"
KWMTBOMO06457,LOC101743751,_,101743751,PREDICTED:_activating_transcription_factor_7-interacting_protein_1_[Papilio_machaon],GO:0005515|protein binding|molecular function,probable serine/threonine-protein kinase kinXsK25802 ATF7IP; activating transcription factor 7-interacting protein
KWMTBOMO06458,NA,_,101743046,PREDICTED:_uncharacterized_protein_LOC101743046_[Bombyx_mori],-,uncharacterized protein LOC101743046sK11975 RNF144; E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
KWMTBOMO06459,NA,_,105841899,"PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC105841899,_partial_[Bombyx_mori]",-,NA
KWMTBOMO06460,LOC101743046,_,101743046,PREDICTED:_uncharacterized_protein_LOC101743046_[Bombyx_mori],GO:0004842|ubiquitin-protein transferase activity|molecular function;GO:0016567|protein ubiquitination|biological process,uncharacterized protein LOC101743046sK11975 RNF144; E3 ubiquitin-protein ligase RNF144 [EC:2.3.2.31]
KWMTBOMO06461,LOC101742906,_,101742906,PREDICTED:_uncharacterized_protein_LOC101742906_isoform_X2_[Bombyx_mori],GO:0005634|nucleus|cellular component;GO:0006915|apoptotic process|biological process,NA
KWMTBOMO06462,LOC101743609,_,101743609,Transmembrane_protein_223_[Papilio_machaon],-,NA
KWMTBOMO06463,TOP2,_,692558,DNA_topoisomerase_2_[Bombyx_mori],"GO:0003677|DNA binding|molecular function;GO:0003918|DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006259|DNA metabolic process|biological process;GO:0006265|DNA topological change|biological process",TOP2; DNA topoisomerase 2sK03164 TOP2; DNA topoisomerase II [EC:5.6.2.2]
KWMTBOMO06464,LOC101743327,_,101743327,PREDICTED:_uncharacterized_protein_LOC106121342_[Papilio_xuthus],-,NA
KWMTBOMO06465,NA,_,101737183,reverse_transcriptase_[Danaus_plexippus],-,NA
KWMTBOMO06466,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],-,NA
KWMTBOMO06467,NA,_,101743191,PREDICTED:_balbiani_ring_protein_3-like_[Amyelois_transitella],GO:0005515|protein binding|molecular function,NA
KWMTBOMO06468,NA,_,105841899,"PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC105841899,_partial_[Bombyx_mori]",-,NA
KWMTBOMO06469,LOC101743470,_,101743470,PREDICTED:_lipase_member_H-like_isoform_X1_[Bombyx_mori],GO:0052689|carboxylic ester hydrolase activity|molecular function,NA
KWMTBOMO06470,LOC101742752,_,101742752,PREDICTED:_lipase_member_H-A-like_[Bombyx_mori],GO:0052689|carboxylic ester hydrolase activity|molecular function,NA
KWMTBOMO06471,NA,_,105842588,PREDICTED:_uncharacterized_protein_LOC105842588_[Bombyx_mori],-,NA
KWMTBOMO06472,LOC101741894,_,101741894,hypothetical_protein_KGM_22112_[Danaus_plexippus],-,NA
KWMTBOMO06473,LOC101742905,_,101742905,PREDICTED:_protein_arginine_N-methyltransferase_7_isoform_X1_[Bombyx_mori],GO:0006479|protein methylation|biological process;GO:0008168|methyltransferase activity|molecular function,protein arginine N-methyltransferase 7sK11438 PRMT7; type III protein arginine methyltransferase [EC:2.1.1.321]
KWMTBOMO06474,LOC100127128,_,100127128,cytochrome_c1_[Bombyx_mori],GO:0009055|electron transfer activity|molecular function;GO:0020037|heme binding|molecular function,cytochrome c1sK00413 CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit
KWMTBOMO06475,LOC101742606,_,101742606,PREDICTED:_condensin_complex_subunit_2_[Amyelois_transitella],GO:0000796|condensin complex|cellular component;GO:0007076|mitotic chromosome condensation|biological process,condensin complex subunit 2sK06676 BRRN1; condensin complex subunit 2
KWMTBOMO06476,LOC101742368,_,101742368,PREDICTED:_protein_LSM14_homolog_B_isoform_X3_[Bombyx_mori],-,protein LSM14 homolog B-A isoform X2sK18749 LSM14; protein LSM14
KWMTBOMO06477,LOC101742233,_,101742233,PREDICTED:_15-hydroxyprostaglandin_dehydrogenase_[NAD(+)]-like_[Amyelois_transitella],-,15-hydroxyprostaglandin dehydrogenase [NAD(+)]sK00069 HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
KWMTBOMO06478,LOC110386616,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO06479,LOC101742076,_,101742076,PREDICTED:_kelch-like_protein_10_[Amyelois_transitella],GO:0005515|protein binding|molecular function,kelch-like protein 10sK10448 KLHL10; kelch-like protein 10
KWMTBOMO06480,RpL18,_,692694,60S_ribosomal_protein_L18_[Bombyx_mori],GO:0003735|structural constituent of ribosome|molecular function;GO:0005840|ribosome|cellular component;GO:0006412|translation|biological process,RpL18; 60S ribosomal protein L18sK02883 RP-L18e; large subunit ribosomal protein L18e
KWMTBOMO06481,LOC101741932,_,101741932,PREDICTED:_folliculin_isoform_X2_[Bombyx_mori],-,folliculin isoform X1sK09594 FLCN; folliculin
KWMTBOMO06482,LOC101742607,_,101742607,PREDICTED:_maternal_protein_tudor_[Bombyx_mori],-,maternal protein tudor isoform X2sK18405 TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7
KWMTBOMO06483,LOC110386147,_,101742607,PREDICTED:_maternal_protein_tudor-like_isoform_X3_[Amyelois_transitella],-,maternal protein tudor isoform X2sK18405 TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7
KWMTBOMO06484,LOC101741783,_,101741783,PREDICTED:_protein_JTB-like_[Plutella_xylostella],GO:0016021|integral component of membrane|cellular component,NA
KWMTBOMO06485,Dnmt2,_,692480,DNA_cytosine-5_methyltransferase_[Bombyx_mori],GO:0008168|methyltransferase activity|molecular function,Dnmt2; DNA cytosine-5 methyltransferasesK15336 TRDMT1; tRNA (cytosine38-C5)-methyltransferase [EC:2.1.1.204]
KWMTBOMO06486,LOC101742466,_,101742466,PREDICTED:_sphingosine_kinase_1-like_[Papilio_xuthus],GO:0003951|NAD+ kinase activity|molecular function;GO:0016301|kinase activity|molecular function,sphingosine kinase 1sK04718 SPHK; sphingosine kinase [EC:2.7.1.91]
KWMTBOMO06487,LOC101741646,_,101741646,putative_ankyrin_repeat_domain_54_[Danaus_plexippus],GO:0005515|protein binding|molecular function,ankyrin repeat domain-containing protein 54sK21442 ANKRD54; ankyrin repeat domain-containing protein 54
KWMTBOMO06488,LOC101742313,_,101742313,PREDICTED:_armadillo_repeat-containing_protein_8-like_isoform_X1_[Bombyx_mori],GO:0005515|protein binding|molecular function,armadillo repeat-containing protein 8 isoform X2sK23336 ARMC8; armadillo repeat-containing protein 8
KWMTBOMO06489,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],GO:0003677|DNA binding|molecular function,NA
KWMTBOMO06490,LOC101741505,_,101741505,PREDICTED:_cyclin-dependent_kinase_14_[Bombyx_mori],GO:0004672|protein kinase activity|molecular function;GO:0005524|ATP binding|molecular function;GO:0006468|protein phosphorylation|biological process;GO:0020037|heme binding|molecular function,cyclin-dependent kinase 14 isoform X1sK08821 CDK14; cyclin-dependent kinase 14 [EC:2.7.11.22]
KWMTBOMO06491,LOC101741365,_,101741365,cPLA2_[Spodoptera_exigua],GO:0019904|protein domain specific binding|molecular function,NA
KWMTBOMO06492,LOC101741228,_,101741228,PLA2-C_[Spodoptera_exigua],GO:0005515|protein binding|molecular function;GO:0006629|lipid metabolic process|biological process,85/88 kDa calcium-independent phospholipase A2sK16343 PLA2G6; calcium-independent phospholipase A2 [EC:3.1.1.4]
KWMTBOMO06493,NA,_,101741228,PREDICTED:_85/88_kDa_calcium-independent_phospholipase_A2_[Papilio_machaon],GO:0006629|lipid metabolic process|biological process,85/88 kDa calcium-independent phospholipase A2sK16343 PLA2G6; calcium-independent phospholipase A2 [EC:3.1.1.4]
KWMTBOMO06494,LOC101741085,_,101741085,PREDICTED:_LOW_QUALITY_PROTEIN:_protein_cueball_[Bombyx_mori],-,NA
KWMTBOMO06495,LOC101744682,_,105841297,PREDICTED:_uncharacterized_protein_LOC105388498_[Plutella_xylostella],-,NA
KWMTBOMO06496,LOC101742172,_,101742172,PREDICTED:_uncharacterized_protein_LOC101742172_isoform_X4_[Bombyx_mori],-,NA
KWMTBOMO06497,NA,_,101741882,PREDICTED:_uncharacterized_protein_LOC101741882_isoform_X4_[Bombyx_mori],-,supervillin isoform X3sK10369 SVIL; supervillin
KWMTBOMO06498,NA,_,101740752,AF461149_1_transposase_[Bombyx_mori],-,NA
KWMTBOMO06499,NA,_,101741882,PREDICTED:_supervillin-like_isoform_X2_[Bombyx_mori],-,supervillin isoform X3sK10369 SVIL; supervillin
KWMTBOMO06500,NA,_,105842661,endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori],-,NA
KWMTBOMO06501,LOC101741882,_,101741882,PREDICTED:_supervillin-like_isoform_X2_[Bombyx_mori],GO:0003779|actin binding|molecular function;GO:0007010|cytoskeleton organization|biological process;GO:0051015|actin filament binding|molecular function,supervillin isoform X3sK10369 SVIL; supervillin
KWMTBOMO06502,LOC101740802,_,101740802,peritrophin_type-A_domain_protein_4_[Mamestra_configurata],GO:0005576|extracellular region|cellular component;GO:0006030|chitin metabolic process|biological process;GO:0008061|chitin binding|molecular function,NA
KWMTBOMO06503,NA,_,101737183,hypothetical_protein_[Piscirickettsia_salmonis],-,NA
KWMTBOMO06504,NA,_,101739731,PREDICTED:_uncharacterized_protein_LOC101736632_[Bombyx_mori],-,NA
KWMTBOMO06505,LOC101740561,_,101740561,PREDICTED:_allatotropin-like_isoform_X2_[Bombyx_mori],-,NA
KWMTBOMO06506,NA,_,101737183,reverse_transcriptase_[Danaus_plexippus],-,NA
KWMTBOMO06507,LOC101740338,_,101740338,hypothetical_protein_KGM_16487_[Danaus_plexippus],GO:0006511|ubiquitin-dependent protein catabolic process|biological process;GO:0016579|protein deubiquitination|biological process;GO:0036459|thiol-dependent ubiquitinyl hydrolase activity|molecular function,proline-rich extensin-like protein EPR1 isoform X2sK11841 USP10; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
KWMTBOMO06508,LOC101740206,_,101740206,PREDICTED:_sodium-_and_chloride-dependent_creatine_transporter_1-like_[Bombyx_mori],GO:0005328|neurotransmitter:sodium symporter activity|molecular function;GO:0016021|integral component of membrane|cellular component,"sodium- and chloride-dependent transporter XTRP3BsK05041 SLC6A8; solute carrier family 6 (neurotransmitter transporter, creatine) member 8"
KWMTBOMO06509,LOC101740071,_,101740071,Regulation_of_nuclear_pre-mRNA_domain-containing_protein_1B_[Operophtera_brumata],-,regulation of nuclear pre-mRNA domain-containing protein 1B isoform X1sK15559 RTT103; regulator of Ty1 transposition protein 103
KWMTBOMO06510,LOC101739558,_,101739558,Uncharacterized_protein_OBRU01_07290_[Operophtera_brumata],-,NA
KWMTBOMO06511,LOC110385925,_,101739843,C-type_lectin_-_mannose_binding_[Papilio_xuthus],-,NA
KWMTBOMO06512,NA,_,105842121,reverse_transcriptase_[Bombyx_mori],-,NA
KWMTBOMO06513,NA,_,105841788,gag-like_protein_[Bombyx_mori],-,NA
KWMTBOMO06514,LOC101739843,_,101739843,PREDICTED:_C-type_lectin_domain_family_4_member_F_[Bombyx_mori],-,NA
KWMTBOMO06515,LOC101741317,_,101741317,PREDICTED:_LOW_QUALITY_PROTEIN:_protein_FAM135A_[Bombyx_mori],-,NA
KWMTBOMO06516,LOC101739428,_,101739428,PREDICTED:_protein_FAM49A_[Amyelois_transitella],-,NA
KWMTBOMO06517,NA,_,101740186,PREDICTED:_uncharacterized_protein_LOC105387844_[Plutella_xylostella],GO:0003676|nucleic acid binding|molecular function;GO:0008270|zinc ion binding|molecular function;GO:0015074|DNA integration|biological process,NA
KWMTBOMO06518,NA,_,105842112,reverse_transcriptase_[Bombyx_mori],GO:0003676|nucleic acid binding|molecular function;GO:0008270|zinc ion binding|molecular function,NA
KWMTBOMO06519,NA,_,101739428,Protein_FAM49A_[Papilio_machaon],-,NA
KWMTBOMO06520,LOC101739088,_,101739088,PREDICTED:_nuclear_envelope_phosphatase-regulatory_subunit_1_homolog_isoform_X2_[Papilio_polytes],GO:0035307|positive regulation of protein dephosphorylation|biological process;GO:0071595|Nem1-Spo7 phosphatase complex|cellular component,NA
KWMTBOMO06521,LOC101738499,_,101738499,enoyl-CoA_delta_isomerase_1_[Agrotis_segetum],GO:0003824|catalytic activity|molecular function,enoyl-CoA delta isomerase 1sK13238 ECI1; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
KWMTBOMO06522,LOC101738722,_,101738722,putative_protein_phosphatases_pp1_regulatory_subunit_[Danaus_plexippus],GO:0005515|protein binding|molecular function,dynein regulatory complex subunit 3 isoform X2sK25443 DRC3; dynein regulatory complex subunit 3
KWMTBOMO06523,LOC101738947,_,101738947,PREDICTED:_target_of_Myb_protein_1_[Amyelois_transitella],GO:0006886|intracellular protein transport|biological process,NA
KWMTBOMO06524,Pdi,_,692673,protein_disulfide_isomerase_precursor_[Bombyx_mori],GO:0003756|protein disulfide isomerase activity|molecular function;GO:0016853|isomerase activity|molecular function;GO:0045454|cell redox homeostasis|biological process,Pdi; protein disulfide isomerase precursorsK09580 PDIA1; protein disulfide-isomerase A1 [EC:5.3.4.1]
KWMTBOMO06525,LOC101738227,_,101738227,Methyltransferase-like_protein_22_[Operophtera_brumata],GO:0006479|protein methylation|biological process;GO:0008276|protein methyltransferase activity|molecular function,methyltransferase-like protein 22sK23040 METTL22; methyltransferase-like protein 22 [EC:2.1.1.-]
KWMTBOMO06526,LOC100862746,_,100862746,PREDICTED:_polycomb_protein_suz12-B_isoform_X2_[Bombyx_mori],-,polycomb protein suz12-B isoform X1sK11463 SUZ12; polycomb protein SUZ12
KWMTBOMO06527,LOC101741787,_,101741787,PREDICTED:_uncharacterized_protein_LOC101741787_[Bombyx_mori],-,NA
KWMTBOMO06528,LOC101741174,_,101741174,PREDICTED:_ubiquitin_domain-containing_protein_UBFD1-like_[Bombyx_mori],GO:0005515|protein binding|molecular function,NA
KWMTBOMO06529,NA,_,101741027,PREDICTED:_fas-binding_factor_1_homolog_[Bombyx_mori],-,fas-binding factor 1 homologsK16471 FBF1; Fas-binding factor 1
KWMTBOMO06530,LOC101741027,_,101741027,PREDICTED:_fas-binding_factor_1_homolog_[Bombyx_mori],GO:0060271|cilium assembly|biological process;GO:0090162|establishment of epithelial cell polarity|biological process;GO:0097539|ciliary transition fiber|cellular component,fas-binding factor 1 homologsK16471 FBF1; Fas-binding factor 1
KWMTBOMO06531,LOC101737965,_,101737965,PREDICTED:_rab11_family-interacting_protein_4A_isoform_X1_[Bombyx_mori],-,rab11 family-interacting protein 4 isoform X4sK12485 RAB11FIP3_4; Rab11 family-interacting protein 3/4
KWMTBOMO06532,NA,_,101737965,PREDICTED:_rab11_family-interacting_protein_4A_isoform_X1_[Bombyx_mori],-,rab11 family-interacting protein 4 isoform X4sK12485 RAB11FIP3_4; Rab11 family-interacting protein 3/4
KWMTBOMO06533,LOC101737744,_,101737744,PREDICTED:_mpv17-like_protein_[Papilio_xuthus],GO:0016021|integral component of membrane|cellular component,mpv17-like proteinsK13349 MPV17L; Mpv17-like protein
KWMTBOMO06534,LOC101737457,_,101737457,PREDICTED:_protein_FAM195A_[Plutella_xylostella],-,NA
KWMTBOMO06535,GlcNAcase1,_,100038345,PREDICTED:_beta-N-acetylglucosaminidase_1_isoform_X1_[Bombyx_mori],"GO:0004553|hydrolase activity, hydrolyzing O-glycosyl compounds|molecular function;GO:0004563|beta-N-acetylhexosaminidase activity|molecular function;GO:0005975|carbohydrate metabolic process|biological process",GlcNAcase1; beta-N-acetylglucosaminidase 1 precursorsK12373 HEXA_B; hexosaminidase [EC:3.2.1.52]
KWMTBOMO06536,LOC101740886,Homeobox,101740886,PREDICTED:_retinal_homeobox_protein_Rx2_[Papilio_xuthus],"GO:0003677|DNA binding|molecular function;GO:0006355|regulation of transcription, DNA-templated|biological process;GO:0043565|sequence-specific DNA binding|molecular function",NA
KWMTBOMO06537,LOC101737225,_,101737225,PREDICTED:_uncharacterized_protein_LOC106121057_[Papilio_xuthus],GO:0008080|N-acetyltransferase activity|molecular function,NA
KWMTBOMO06538,LOC101736903,_,101736903,thioesterase-Ap_[Antheraea_pernyi],GO:0002084|protein depalmitoylation|biological process;GO:0008474|palmitoyl-(protein) hydrolase activity|molecular function;GO:0098599|palmitoyl hydrolase activity|molecular function,palmitoyl-protein thioesterase 1 isoform X1sK01074 PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]
KWMTBOMO06539,NA,_,101736775,NA,-,NA
KWMTBOMO06540,LOC101736775,_,101736775,PREDICTED:_uncharacterized_protein_LOC101736775_[Bombyx_mori],-,NA
KWMTBOMO06541,LOC732898,_,732898,methionine_sulfoxide_reductase_[Bombyx_mori],GO:0008113|peptide-methionine (S)-S-oxide reductase activity|molecular function;GO:0055114|oxidation-reduction process|biological process,methionine sulfoxide reductasesK07304 msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
KWMTBOMO06542,LOC101740746,_,101740746,PREDICTED:_protein_phosphatase_1_regulatory_subunit_16A_isoform_X6_[Bombyx_mori],GO:0005515|protein binding|molecular function,protein phosphatase 1 regulatory subunit 16A isoform X1sK17458 PPP1R16A; protein phosphatase 1 regulatory subunit 16A
KWMTBOMO06543,LOC101740608,_,101740608,PREDICTED:_sodium/hydrogen_exchanger_3_[Bombyx_mori],GO:0006812|cation transport|biological process;GO:0006814|sodium ion transport|biological process;GO:0006885|regulation of pH|biological process;GO:0015299|solute:proton antiporter activity|molecular function;GO:0015385|sodium:proton antiporter activity|molecular function;GO:0016021|integral component of membrane|cellular component;GO:0055085|transmembrane transport|biological process,"sodium/hydrogen exchanger 3 isoform X3sK12040 SLC9A3; solute carrier family 9 (sodium/hydrogen exchanger), member 3"
KWMTBOMO06544,LOC101740472,_,101740472,PREDICTED:_uncharacterized_protein_LOC101740472_[Bombyx_mori],-,NA
KWMTBOMO06545,NA,_,101740472,PREDICTED:_uncharacterized_protein_LOC101740472_[Bombyx_mori],-,NA
KWMTBOMO06546,LOC101740339,_,101740339,PREDICTED:_uncharacterized_protein_LOC106134869_[Amyelois_transitella],-,NA
KWMTBOMO06547,LOC101736373,_,101736373,PREDICTED:_mpv17-like_protein_2_[Papilio_polytes],GO:0016021|integral component of membrane|cellular component,mpv17-like protein 2 isoform X2sK13348 MPV17; protein Mpv17
KWMTBOMO06548,LOC101736108,_,101736108,PREDICTED:_nuclear_receptor_coactivator_5_[Amyelois_transitella],GO:0003676|nucleic acid binding|molecular function,NA
KWMTBOMO06549,LOC101736244,_,101736244,"PREDICTED:_cell_division_cycle_protein_27_homolog,_partial_[Bombyx_mori]",GO:0005515|protein binding|molecular function,cell division cycle protein 27 homologsK03350 APC3; anaphase-promoting complex subunit 3
KWMTBOMO06550,LOC101735892,_,101735892,PREDICTED:_transmembrane_protein_184B_isoform_X1_[Papilio_xuthus],-,NA
KWMTBOMO06551,LOC101735761,_,101735761,PREDICTED:_dual_specificity_protein_phosphatase_22_isoform_X2_[Bombyx_mori],GO:0006470|protein dephosphorylation|biological process;GO:0008138|protein tyrosine/serine/threonine phosphatase activity|molecular function;GO:0016311|dephosphorylation|biological process;GO:0016791|phosphatase activity|molecular function,dual specificity protein phosphatase 22 isoform X1sK14165 K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
KWMTBOMO06552,LOC101735621,_,101735621,PREDICTED:_uncharacterized_protein_LOC101735621_isoform_X1_[Bombyx_mori],-,NA
KWMTBOMO06553,LOC101735486,_,101735486,PREDICTED:_anamorsin_homolog_[Plutella_xylostella],GO:0005737|cytoplasm|cellular component;GO:0016226|iron-sulfur cluster assembly|biological process;GO:0051536|iron-sulfur cluster binding|molecular function,anamorsin homologsK22746 CIAPIN1; anamorsin
KWMTBOMO06554,LOC101740207,_,101740207,PREDICTED:_ataxin-1-like_[Bombyx_mori],GO:0003723|RNA binding|molecular function;GO:0005515|protein binding|molecular function,ataxin-1-likesK23616 ATXN1_1L; ataxin 1/1L
KWMTBOMO06555,LOC101747140,_,101747140,PREDICTED:_uncharacterized_protein_LOC106134871_[Amyelois_transitella],-,NA
KWMTBOMO06556,LOC101747005,_,101747005,PREDICTED:_BTB/POZ_domain-containing_protein_6-B_[Amyelois_transitella],GO:0005515|protein binding|molecular function,NA
KWMTBOMO06557,LOC101746869,_,101746869,PREDICTED:_uncharacterized_protein_LOC106134980_[Amyelois_transitella],-,NA
KWMTBOMO06558,LOC101746540,_,101746540,PREDICTED:_N-alpha-acetyltransferase_11_[Amyelois_transitella],GO:0008080|N-acetyltransferase activity|molecular function,N-alpha-acetyltransferase 10sK20791 NAA10_11; N-alpha-acetyltransferase 10/11 [EC:2.3.1.255]
KWMTBOMO06559,LOC101740072,MYB,101740072,PREDICTED:_protein_PFC0760c-like_[Bombyx_mori],GO:0005634|nucleus|cellular component;GO:0006915|apoptotic process|biological process,NA
KWMTBOMO06560,LOC101739797,_,101739797,PREDICTED:_breast_cancer_anti-estrogen_resistance_protein_1_[Bombyx_mori],GO:0005515|protein binding|molecular function,breast cancer anti-estrogen resistance protein 1 isoform X1sK16832 NEDD9; enhancer of filamentation 1
KWMTBOMO06561,LOC101746403,_,101746403,PREDICTED:_nucleolar_GTP-binding_protein_2_[Bombyx_mori],GO:0005525|GTP binding|molecular function;GO:0005730|nucleolus|cellular component,nucleolar GTP-binding protein 2sK14537 NUG2; nuclear GTP-binding protein
KWMTBOMO06562,LOC101746264,_,101746264,PREDICTED:_transmembrane_protein_170A_[Amyelois_transitella],-,NA
KWMTBOMO06563,LOC101739654,_,101739654,"Uncharacterized_protein_OBRU01_07668,_partial_[Operophtera_brumata]",-,centrosomal protein of 135 kDasK16461 CEP135; centrosomal protein CEP135
KWMTBOMO06564,LOC101739512,_,101739512,PREDICTED:_lisH_domain_and_HEAT_repeat-containing_protein_KIAA1468-like_[Bombyx_mori],GO:0005515|protein binding|molecular function;GO:0005802|trans-Golgi network|cellular component;GO:0032367|intracellular cholesterol transport|biological process,RAB11-binding protein RELCHsK26154 RELCH; RAB11-binding protein RELCH
KWMTBOMO06565,GSTo4,_,100141441,glutathione_S-transferase_omega_4_[Bombyx_mori],GO:0005515|protein binding|molecular function,GSTo4; glutathione S-transferase omega 4sK00310 SE; pyrimidodiazepine synthase [EC:1.5.4.1]
KWMTBOMO06566,GSTo1,_,692819,glutathione_S-transferase_omega_1_[Bombyx_mori],GO:0005515|protein binding|molecular function,GSTo1; glutathione S-transferase omega 1sK00310 SE; pyrimidodiazepine synthase [EC:1.5.4.1]
KWMTBOMO06567,GSTo2,_,692941,glutathione_S-transferase_omega_2_[Bombyx_mori],GO:0005515|protein binding|molecular function,GSTo2; glutathione S-transferase omega 2sK00310 SE; pyrimidodiazepine synthase [EC:1.5.4.1]
KWMTBOMO06568,Cdt1,_,100873154,PREDICTED:_DNA_replication_factor_Cdt1_isoform_X1_[Bombyx_mori],-,Cdt1; DNA replication factor Cdt1sK10727 CDT1; chromatin licensing and DNA replication factor 1
